IMAGEID,Plane,TheC,TheZ,TheC,XPos,YPos,ZPos,DeltaT
0.0,0.0,0.0,0.0,0.0,37971.2,12971.2,37971.2,0.0
0.0,1.0,0.0,0.0,1.0,37971.2,12971.2,37971.2,0.116
0.0,2.0,0.0,1.0,0.0,37971.2,12971.2,37971.2,0.372
0.0,3.0,0.0,1.0,1.0,37971.2,12971.2,37971.2,0.463
0.0,4.0,0.0,2.0,0.0,37971.2,12971.2,37971.2,0.729
0.0,5.0,0.0,2.0,1.0,37971.2,12971.2,37971.2,0.825
0.0,6.0,0.0,3.0,0.0,37971.2,12971.2,37971.2,1.063
0.0,7.0,0.0,3.0,1.0,37971.2,12971.2,37971.2,1.161
0.0,8.0,0.0,4.0,0.0,37971.2,12971.2,37971.2,1.409
0.0,9.0,0.0,4.0,1.0,37971.2,12971.2,37971.2,1.503
0.0,10.0,1.0,0.0,0.0,37971.2,12971.2,37971.2,8.275
0.0,11.0,1.0,0.0,1.0,37971.2,12971.2,37971.2,8.406
0.0,12.0,1.0,1.0,0.0,37971.2,12971.2,37971.2,8.646
0.0,13.0,1.0,1.0,1.0,37971.2,12971.2,37971.2,8.741
0.0,14.0,1.0,2.0,0.0,37971.2,12971.2,37971.2,8.999
0.0,15.0,1.0,2.0,1.0,37971.2,12971.2,37971.2,9.09
0.0,16.0,1.0,3.0,0.0,37971.2,12971.2,37971.2,9.362
0.0,17.0,1.0,3.0,1.0,37971.2,12971.2,37971.2,9.458
0.0,18.0,1.0,4.0,0.0,37971.2,12971.2,37971.2,9.705
0.0,19.0,1.0,4.0,1.0,37971.2,12971.2,37971.2,9.79
1.0,0.0,0.0,0.0,0.0,38028.8,12971.2,38028.8,2.048
1.0,1.0,0.0,0.0,1.0,38028.8,12971.2,38028.8,2.143
1.0,2.0,0.0,1.0,0.0,38028.8,12971.2,38028.8,2.403
1.0,3.0,0.0,1.0,1.0,38028.8,12971.2,38028.8,2.487
1.0,4.0,0.0,2.0,0.0,38028.8,12971.2,38028.8,2.745
1.0,5.0,0.0,2.0,1.0,38028.8,12971.2,38028.8,2.836
1.0,6.0,0.0,3.0,0.0,38028.8,12971.2,38028.8,3.055
1.0,7.0,0.0,3.0,1.0,38028.8,12971.2,38028.8,3.153
1.0,8.0,0.0,4.0,0.0,38028.8,12971.2,38028.8,3.409
1.0,9.0,0.0,4.0,1.0,38028.8,12971.2,38028.8,3.512
1.0,10.0,1.0,0.0,0.0,38028.8,12971.2,38028.8,10.35
1.0,11.0,1.0,0.0,1.0,38028.8,12971.2,38028.8,10.466
1.0,12.0,1.0,1.0,0.0,38028.8,12971.2,38028.8,10.735
1.0,13.0,1.0,1.0,1.0,38028.8,12971.2,38028.8,10.834
1.0,14.0,1.0,2.0,0.0,38028.8,12971.2,38028.8,11.08
1.0,15.0,1.0,2.0,1.0,38028.8,12971.2,38028.8,11.174
1.0,16.0,1.0,3.0,0.0,38028.8,12971.2,38028.8,11.43
1.0,17.0,1.0,3.0,1.0,38028.8,12971.2,38028.8,11.52
1.0,18.0,1.0,4.0,0.0,38028.8,12971.2,38028.8,11.755
1.0,19.0,1.0,4.0,1.0,38028.8,12971.2,38028.8,11.837
2.0,0.0,0.0,0.0,0.0,37971.2,13028.8,37971.2,4.074
2.0,1.0,0.0,0.0,1.0,37971.2,13028.8,37971.2,4.159
2.0,2.0,0.0,1.0,0.0,37971.2,13028.8,37971.2,4.397
2.0,3.0,0.0,1.0,1.0,37971.2,13028.8,37971.2,4.494
2.0,4.0,0.0,2.0,0.0,37971.2,13028.8,37971.2,4.759
2.0,5.0,0.0,2.0,1.0,37971.2,13028.8,37971.2,4.891
2.0,6.0,0.0,3.0,0.0,37971.2,13028.8,37971.2,5.14
2.0,7.0,0.0,3.0,1.0,37971.2,13028.8,37971.2,5.238
2.0,8.0,0.0,4.0,0.0,37971.2,13028.8,37971.2,5.498
2.0,9.0,0.0,4.0,1.0,37971.2,13028.8,37971.2,5.59
2.0,10.0,1.0,0.0,0.0,37971.2,13028.8,37971.2,12.429
2.0,11.0,1.0,0.0,1.0,37971.2,13028.8,37971.2,12.513
2.0,12.0,1.0,1.0,0.0,37971.2,13028.8,37971.2,12.763
2.0,13.0,1.0,1.0,1.0,37971.2,13028.8,37971.2,12.867
2.0,14.0,1.0,2.0,0.0,37971.2,13028.8,37971.2,13.105
2.0,15.0,1.0,2.0,1.0,37971.2,13028.8,37971.2,13.2
2.0,16.0,1.0,3.0,0.0,37971.2,13028.8,37971.2,13.451
2.0,17.0,1.0,3.0,1.0,37971.2,13028.8,37971.2,13.548
2.0,18.0,1.0,4.0,0.0,37971.2,13028.8,37971.2,13.867
2.0,19.0,1.0,4.0,1.0,37971.2,13028.8,37971.2,13.961
