ImageID	Plane	TheT	TheZ	TheC	XPos	YPos	ZPos	DeltaT
0.0	0.0	0.0	0.0	0.0	30533.1	16533.1	111.8	0.0
0.0	1.0	1.0	0.0	0.0	30533.1	16533.1	111.8	4.996
1.0	0.0	0.0	0.0	0.0	32466.9	16533.1	111.8	0.191
1.0	1.0	1.0	0.0	0.0	32466.9	16533.1	111.8	5.192
2.0	0.0	0.0	0.0	0.0	30533.1	18466.9	111.8	0.401
2.0	1.0	1.0	0.0	0.0	30533.1	18466.9	111.8	5.4
3.0	0.0	0.0	0.0	0.0	32466.9	18466.9	111.8	0.591
3.0	1.0	1.0	0.0	0.0	32466.9	18466.9	111.8	5.595
4.0	0.0	0.0	0.0	0.0	39533.1	16533.1	111.8	0.799
4.0	1.0	1.0	0.0	0.0	39533.1	16533.1	111.8	5.837
5.0	0.0	0.0	0.0	0.0	41466.9	16533.1	111.8	0.99
5.0	1.0	1.0	0.0	0.0	41466.9	16533.1	111.8	6.03
6.0	0.0	0.0	0.0	0.0	39533.1	18466.9	111.8	1.204
6.0	1.0	1.0	0.0	0.0	39533.1	18466.9	111.8	6.24
7.0	0.0	0.0	0.0	0.0	41466.9	18466.9	111.8	1.397
7.0	1.0	1.0	0.0	0.0	41466.9	18466.9	111.8	6.438
