IMAGEID	Plane	TheC	TheZ	TheC	XPos	YPos	ZPos	DeltaT
0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.0	0.0
0.0	1.0	0.0	1.0	0.0	0.0	0.0	-4.8	0.148
0.0	2.0	0.0	2.0	0.0	0.0	0.0	-4.8	0.296
0.0	3.0	0.0	3.0	0.0	0.0	0.0	-4.6	0.451
0.0	4.0	0.0	4.0	0.0	0.0	0.0	-4.6	0.602
0.0	5.0	0.0	5.0	0.0	0.0	0.0	-4.4	0.757
0.0	6.0	0.0	6.0	0.0	0.0	0.0	-4.4	0.908
0.0	7.0	0.0	7.0	0.0	0.0	0.0	-4.2	1.07
0.0	8.0	0.0	8.0	0.0	0.0	0.0	-4.2	1.223
0.0	9.0	0.0	9.0	0.0	0.0	0.0	-4.0	1.37
0.0	10.0	0.0	10.0	0.0	0.0	0.0	-4.0	1.515
0.0	11.0	0.0	11.0	0.0	0.0	0.0	-3.8	1.664
0.0	12.0	0.0	12.0	0.0	0.0	0.0	-3.8	1.824
0.0	13.0	0.0	13.0	0.0	0.0	0.0	-3.6	1.98
0.0	14.0	0.0	14.0	0.0	0.0	0.0	-3.6	2.126
0.0	15.0	0.0	15.0	0.0	0.0	0.0	-3.4	2.273
0.0	16.0	0.0	16.0	0.0	0.0	0.0	-3.4	2.421
0.0	17.0	0.0	17.0	0.0	0.0	0.0	-3.2	2.569
0.0	18.0	0.0	18.0	0.0	0.0	0.0	-3.2	2.727
0.0	19.0	0.0	19.0	0.0	0.0	0.0	-3.0	2.88
0.0	20.0	0.0	20.0	0.0	0.0	0.0	-3.0	3.031
0.0	21.0	0.0	21.0	0.0	0.0	0.0	-2.8	3.187
0.0	22.0	0.0	22.0	0.0	0.0	0.0	-2.8	3.34
0.0	23.0	0.0	23.0	0.0	0.0	0.0	-2.6	3.488
0.0	24.0	0.0	24.0	0.0	0.0	0.0	-2.6	3.636
0.0	25.0	0.0	25.0	0.0	0.0	0.0	-2.4	3.788
0.0	26.0	0.0	26.0	0.0	0.0	0.0	-2.4	3.943
0.0	27.0	0.0	27.0	0.0	0.0	0.0	-2.2	4.098
0.0	28.0	0.0	28.0	0.0	0.0	0.0	-2.2	4.257
0.0	29.0	0.0	29.0	0.0	0.0	0.0	-2.0	4.414
0.0	30.0	0.0	30.0	0.0	0.0	0.0	-2.0	4.565
0.0	31.0	0.0	31.0	0.0	0.0	0.0	-1.8	4.785
0.0	32.0	0.0	32.0	0.0	0.0	0.0	-1.8	4.94
0.0	33.0	0.0	33.0	0.0	0.0	0.0	-1.6	5.091
0.0	34.0	0.0	34.0	0.0	0.0	0.0	-1.6	5.237
0.0	35.0	0.0	35.0	0.0	0.0	0.0	-1.4	5.421
0.0	36.0	0.0	36.0	0.0	0.0	0.0	-1.4	5.571
0.0	37.0	0.0	37.0	0.0	0.0	0.0	-1.2	5.721
0.0	38.0	0.0	38.0	0.0	0.0	0.0	-1.2	5.871
0.0	39.0	0.0	39.0	0.0	0.0	0.0	-1.0	6.023
0.0	40.0	0.0	40.0	0.0	0.0	0.0	-1.0	6.176
0.0	41.0	0.0	41.0	0.0	0.0	0.0	-0.8	6.338
0.0	42.0	0.0	42.0	0.0	0.0	0.0	-0.8	6.497
0.0	43.0	0.0	43.0	0.0	0.0	0.0	-0.6	6.707
0.0	44.0	0.0	44.0	0.0	0.0	0.0	-0.6	6.859
0.0	45.0	0.0	45.0	0.0	0.0	0.0	-0.4	7.013
0.0	46.0	0.0	46.0	0.0	0.0	0.0	-0.4	7.183
0.0	47.0	0.0	47.0	0.0	0.0	0.0	-0.2	7.34
0.0	48.0	0.0	48.0	0.0	0.0	0.0	-0.2	7.491
0.0	49.0	0.0	49.0	0.0	0.0	0.0	0.0	7.648
0.0	50.0	0.0	50.0	0.0	0.0	0.0	0.0	7.8
0.0	51.0	0.0	51.0	0.0	0.0	0.0	0.2	7.959
0.0	52.0	0.0	52.0	0.0	0.0	0.0	0.2	8.124
0.0	53.0	0.0	53.0	0.0	0.0	0.0	0.4	8.285
0.0	54.0	0.0	54.0	0.0	0.0	0.0	0.4	8.437
0.0	55.0	0.0	55.0	0.0	0.0	0.0	0.6	8.587
0.0	56.0	0.0	56.0	0.0	0.0	0.0	0.6	8.739
0.0	57.0	0.0	57.0	0.0	0.0	0.0	0.8	8.89
0.0	58.0	0.0	58.0	0.0	0.0	0.0	0.8	9.053
0.0	59.0	0.0	59.0	0.0	0.0	0.0	1.0	9.201
0.0	60.0	0.0	60.0	0.0	0.0	0.0	1.0	9.354
0.0	61.0	0.0	61.0	0.0	0.0	0.0	1.2	9.506
0.0	62.0	0.0	62.0	0.0	0.0	0.0	1.2	9.667
0.0	63.0	0.0	63.0	0.0	0.0	0.0	1.4	9.823
0.0	64.0	0.0	64.0	0.0	0.0	0.0	1.4	9.975
0.0	65.0	0.0	65.0	0.0	0.0	0.0	1.6	10.132
0.0	66.0	0.0	66.0	0.0	0.0	0.0	1.6	10.278
0.0	67.0	0.0	67.0	0.0	0.0	0.0	1.8	10.431
0.0	68.0	0.0	68.0	0.0	0.0	0.0	1.8	10.586
0.0	69.0	0.0	69.0	0.0	0.0	0.0	2.0	10.737
0.0	70.0	0.0	70.0	0.0	0.0	0.0	2.0	10.89
0.0	71.0	0.0	71.0	0.0	0.0	0.0	2.2	11.096
0.0	72.0	0.0	72.0	0.0	0.0	0.0	2.2	11.258
0.0	73.0	0.0	73.0	0.0	0.0	0.0	2.4	11.418
0.0	74.0	0.0	74.0	0.0	0.0	0.0	2.4	11.572
0.0	75.0	0.0	75.0	0.0	0.0	0.0	2.6	11.729
0.0	76.0	0.0	76.0	0.0	0.0	0.0	2.6	11.921
0.0	77.0	0.0	77.0	0.0	0.0	0.0	2.8	12.077
0.0	78.0	0.0	78.0	0.0	0.0	0.0	2.8	12.223
0.0	79.0	0.0	79.0	0.0	0.0	0.0	3.0	12.373
0.0	80.0	0.0	80.0	0.0	0.0	0.0	3.0	12.535
0.0	81.0	0.0	81.0	0.0	0.0	0.0	3.2	12.686
0.0	82.0	0.0	82.0	0.0	0.0	0.0	3.2	12.839
0.0	83.0	0.0	83.0	0.0	0.0	0.0	3.4	13.0
0.0	84.0	0.0	84.0	0.0	0.0	0.0	3.4	13.171
0.0	85.0	0.0	85.0	0.0	0.0	0.0	3.6	13.33
0.0	86.0	0.0	86.0	0.0	0.0	0.0	3.6	13.482
0.0	87.0	0.0	87.0	0.0	0.0	0.0	3.8	13.633
0.0	88.0	0.0	88.0	0.0	0.0	0.0	3.8	13.783
0.0	89.0	0.0	89.0	0.0	0.0	0.0	4.0	13.935
0.0	90.0	0.0	90.0	0.0	0.0	0.0	4.0	14.083
0.0	91.0	0.0	91.0	0.0	0.0	0.0	4.2	14.233
0.0	92.0	0.0	92.0	0.0	0.0	0.0	4.2	14.385
0.0	93.0	0.0	93.0	0.0	0.0	0.0	4.4	14.537
0.0	94.0	0.0	94.0	0.0	0.0	0.0	4.4	14.686
0.0	95.0	0.0	95.0	0.0	0.0	0.0	4.6	14.858
0.0	96.0	0.0	96.0	0.0	0.0	0.0	4.6	15.023
0.0	97.0	0.0	97.0	0.0	0.0	0.0	4.8	15.178
0.0	98.0	0.0	98.0	0.0	0.0	0.0	4.8	15.327
0.0	99.0	0.0	99.0	0.0	0.0	0.0	5.0	15.479
