IMAGEID	Plane	TheC	TheZ	TheC	XPos	YPos	ZPos	DeltaT
0.0	0.0	0.0	0.0	0.0	2250.9	6250.5	1253.2	0.0
1.0	0.0	0.0	0.0	0.0	6750.9	6250.5	1261.1	1.648
2.0	0.0	0.0	0.0	0.0	11250.9	6250.5	1256.9	3.403
3.0	0.0	0.0	0.0	0.0	15750.9	6250.5	1255.9	5.247
4.0	0.0	0.0	0.0	0.0	20250.9	6250.5	1262.1	7.049
5.0	0.0	0.0	0.0	0.0	24750.9	6250.5	1266.4	9.147
6.0	0.0	0.0	0.0	0.0	29250.9	6250.5	1264.8	10.997
7.0	0.0	0.0	0.0	0.0	33750.9	6250.5	1266.7	13.149
8.0	0.0	0.0	0.0	0.0	38250.9	6250.5	1257.6	14.997
9.0	0.0	0.0	0.0	0.0	42750.9	6250.5	1267.4	17.047
10.0	0.0	0.0	0.0	0.0	47250.9	6250.5	1275.6	19.248
11.0	0.0	0.0	0.0	0.0	51750.9	6250.5	1267.4	21.149
12.0	0.0	0.0	0.0	0.0	56250.9	6250.5	1269.2	23.298
13.0	0.0	0.0	0.0	0.0	60750.9	6250.5	1265.6	25.448
14.0	0.0	0.0	0.0	0.0	65250.9	6250.5	1283.7	27.597
15.0	0.0	0.0	0.0	0.0	69614.2	6250.5	1293.0	29.898
16.0	0.0	0.0	0.0	0.0	74250.9	6250.5	1278.6	32.097
17.0	0.0	0.0	0.0	0.0	78750.9	6250.5	1286.7	34.37
18.0	0.0	0.0	0.0	0.0	83250.9	6250.5	1288.4	36.599
19.0	0.0	0.0	0.0	0.0	87750.9	6250.5	1285.9	38.848
20.0	0.0	0.0	0.0	0.0	92250.9	6250.5	1295.6	41.397
21.0	0.0	0.0	0.0	0.0	96750.9	6250.5	1301.6	43.948
22.0	0.0	0.0	0.0	0.0	101250.9	6250.5	1302.4	46.497
23.0	0.0	0.0	0.0	0.0	105750.9	6250.5	1296.8	48.746
24.0	0.0	0.0	0.0	0.0	2250.9	10750.5	1264.1	52.92
25.0	0.0	0.0	0.0	0.0	6750.9	10750.5	1266.8	55.048
26.0	0.0	0.0	0.0	0.0	11250.9	10750.5	1257.0	56.848
