IMAGEID	Plane	TheT	TheZ	TheC	XPos	YPos	ZPos	DeltaT
0.0	0.0	0.0	0.0	0.0	2068.2	5983.9	467.7	0.0
0.0	1.0	0.0	0.0	1.0	2068.2	5983.9	467.7	0.222
0.0	2.0	0.0	0.0	2.0	2068.2	5983.9	467.7	0.735
1.0	0.0	0.0	0.0	0.0	6564.0	6003.7	477.2	2.776
1.0	1.0	0.0	0.0	1.0	6564.0	6003.7	477.2	3.007
1.0	2.0	0.0	0.0	2.0	6564.0	6003.7	477.2	3.518
2.0	0.0	0.0	0.0	0.0	11059.8	6023.5	488.6	5.865
2.0	1.0	0.0	0.0	1.0	11059.8	6023.5	488.6	6.101
2.0	2.0	0.0	0.0	2.0	11059.8	6023.5	488.6	6.613
3.0	0.0	0.0	0.0	0.0	15555.6	6043.2	498.4	9.337
3.0	1.0	0.0	0.0	1.0	15555.6	6043.2	498.4	9.558
3.0	2.0	0.0	0.0	2.0	15555.6	6043.2	498.4	10.062
4.0	0.0	0.0	0.0	0.0	20051.3	6063.0	514.7	12.454
4.0	1.0	0.0	0.0	1.0	20051.3	6063.0	514.7	12.678
4.0	2.0	0.0	0.0	2.0	20051.3	6063.0	514.7	13.183
5.0	0.0	0.0	0.0	0.0	24547.1	6082.8	511.5	14.979
5.0	1.0	0.0	0.0	1.0	24547.1	6082.8	511.5	15.204
5.0	2.0	0.0	0.0	2.0	24547.1	6082.8	511.5	15.797
6.0	0.0	0.0	0.0	0.0	29042.9	6102.6	519.7	18.083
6.0	1.0	0.0	0.0	1.0	29042.9	6102.6	519.7	18.306
6.0	2.0	0.0	0.0	2.0	29042.9	6102.6	519.7	18.822
7.0	0.0	0.0	0.0	0.0	33538.6	6122.3	519.7	20.291
7.0	1.0	0.0	0.0	1.0	33538.6	6122.3	519.7	20.527
7.0	2.0	0.0	0.0	2.0	33538.6	6122.3	519.7	21.037
8.0	0.0	0.0	0.0	0.0	38034.4	6142.1	524.8	22.832
8.0	1.0	0.0	0.0	1.0	38034.4	6142.1	524.8	23.055
8.0	2.0	0.0	0.0	2.0	38034.4	6142.1	524.8	23.562
9.0	0.0	0.0	0.0	0.0	42530.2	6161.9	524.8	25.032
9.0	1.0	0.0	0.0	1.0	42530.2	6161.9	524.8	25.252
9.0	2.0	0.0	0.0	2.0	42530.2	6161.9	524.8	25.76
10.0	0.0	0.0	0.0	0.0	47026.0	6181.6	527.1	27.876
10.0	1.0	0.0	0.0	1.0	47026.0	6181.6	527.1	28.1
10.0	2.0	0.0	0.0	2.0	47026.0	6181.6	527.1	28.608
11.0	0.0	0.0	0.0	0.0	51521.7	6201.4	527.1	30.149
11.0	1.0	0.0	0.0	1.0	51521.7	6201.4	527.1	30.367
11.0	2.0	0.0	0.0	2.0	51521.7	6201.4	527.1	30.879
12.0	0.0	0.0	0.0	0.0	56017.5	6221.2	527.1	32.426
12.0	1.0	0.0	0.0	1.0	56017.5	6221.2	527.1	32.65
12.0	2.0	0.0	0.0	2.0	56017.5	6221.2	527.1	33.162
13.0	0.0	0.0	0.0	0.0	60513.3	6241.0	520.4	35.657
13.0	1.0	0.0	0.0	1.0	60513.3	6241.0	520.4	35.88
13.0	2.0	0.0	0.0	2.0	60513.3	6241.0	520.4	36.389
14.0	0.0	0.0	0.0	0.0	65009.0	6260.7	515.9	38.433
14.0	1.0	0.0	0.0	1.0	65009.0	6260.7	515.9	38.661
14.0	2.0	0.0	0.0	2.0	65009.0	6260.7	515.9	39.264
15.0	0.0	0.0	0.0	0.0	69504.8	6280.5	509.7	41.06
15.0	1.0	0.0	0.0	1.0	69504.8	6280.5	509.7	41.28
15.0	2.0	0.0	0.0	2.0	69504.8	6280.5	509.7	41.79
16.0	0.0	0.0	0.0	0.0	74000.6	6300.3	505.5	43.552
16.0	1.0	0.0	0.0	1.0	74000.6	6300.3	505.5	43.78
16.0	2.0	0.0	0.0	2.0	74000.6	6300.3	505.5	44.308
17.0	0.0	0.0	0.0	0.0	78496.3	6320.1	501.6	46.326
17.0	1.0	0.0	0.0	1.0	78496.3	6320.1	501.6	46.559
17.0	2.0	0.0	0.0	2.0	78496.3	6320.1	501.6	47.072
18.0	0.0	0.0	0.0	0.0	82992.1	6339.8	478.9	49.49
18.0	1.0	0.0	0.0	1.0	82992.1	6339.8	478.9	49.798
18.0	2.0	0.0	0.0	2.0	82992.1	6339.8	478.9	50.304
19.0	0.0	0.0	0.0	0.0	87487.9	6359.6	464.9	52.177
19.0	1.0	0.0	0.0	1.0	87487.9	6359.6	464.9	52.397
19.0	2.0	0.0	0.0	2.0	87487.9	6359.6	464.9	52.903
20.0	0.0	0.0	0.0	0.0	91983.7	6379.4	477.8	55.063
20.0	1.0	0.0	0.0	1.0	91983.7	6379.4	477.8	55.328
20.0	2.0	0.0	0.0	2.0	91983.7	6379.4	477.8	55.836
21.0	0.0	0.0	0.0	0.0	96479.4	6399.2	469.7	57.923
21.0	1.0	0.0	0.0	1.0	96479.4	6399.2	469.7	58.145
21.0	2.0	0.0	0.0	2.0	96479.4	6399.2	469.7	58.654
22.0	0.0	0.0	0.0	0.0	100975.2	6418.9	463.6	60.997
22.0	1.0	0.0	0.0	1.0	100975.2	6418.9	463.6	61.216
